Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2021-07-29,934.25341796875,943.8769425785124,929.7715466212894,934.5946824013536,13765738
2021-07-30,926.0859985351562,940.9421040230186,924.1748936428288,936.4147387774315,11350608
2021-08-02,943.012451171875,946.1520117827725,928.7478263645152,934.7312372274596,10925104
2021-08-03,949.9513549804688,951.430147484226,939.2358562430207,950.9751482931742,11817299
2021-08-04,957.2315673828125,961.8954143261994,949.6100753022611,952.9771655453944,13169800
2021-08-05,971.1094360351562,980.4598768953389,957.4590392491626,962.0318984025091,21252078
2021-08-06,950.5429077148438,976.8880893431025,945.8562535112904,969.1528622918455,16620987
2021-08-09,945.1282348632812,950.8841763192498,940.282351981684,946.8800509816786,7494143
2021-08-10,950.0878295898438,961.4404233933778,943.581178728171,947.3350273362742,11919198
2021-08-11,963.39697265625,964.6254885296094,947.9720727670094,954.1374592617027,9184963
2021-08-12,960.3029174804688,967.4466034758628,957.8003316249841,966.8550623942889,8137612
2021-08-13,976.2965087890625,978.2303606065249,959.5975996548036,963.3969420853272,12780901
2021-08-16,988.9686279296875,1002.3914951366927,968.3338340297282,977.980105672493,21935444
2021-08-17,984.7598266601562,994.2923038234345,977.297622981309,986.8529072733435,12658169
2021-08-18,988.5819091796875,995.0203194571639,979.4589373887336,989.1961972236583,10075860
2021-08-20,977.4796142578125,988.2861007519195,972.3607078932538,975.09076320503,9426282
2021-08-23,983.895263671875,989.1961455676026,970.2221199980743,989.1961455676026,9854395
2021-08-24,993.6098022460938,997.3863978639248,980.8239096504693,985.123805492856,11864472
2021-08-25,1002.2095336914062,1010.1267969703356,991.9717803975888,994.383378575713,13380559
2021-08-26,1014.8815307617188,1021.4564824929126,1003.3014677332652,1004.666525440298,18589616
2021-08-27,1013.4937133789062,1020.4782304762028,1008.3293734966592,1017.8618498448702,10480636
2021-08-30,1032.9910888671875,1035.539228921763,1017.7709708130757,1023.7771290070833,14027062
2021-08-31,1027.4854736328125,1039.1337183154053,1020.2507393885751,1036.016904489164,26485463
2021-09-01,1031.557861328125,1043.2972151004208,1029.6923704170056,1034.2424832806043,11145486
2021-09-02,1043.9796142578125,1050.0767599227504,1026.052128476792,1026.052128476792,9956770
2021-09-03,1086.7962646484375,1089.753849755498,1047.6652497127798,1051.0777738490863,30664428
2021-09-06,1103.67724609375,1128.4299004209945,1097.4889922462605,1097.944051619568,33641710
2021-09-07,1110.638916015625,1118.4195769224002,1097.4890117544835,1105.6792381399396,17349882
2021-09-08,1106.29345703125,1116.5995103115172,1095.054658449374,1115.6895119598441,14301651
2021-09-09,1103.67724609375,1109.2510915570197,1099.35460328716,1104.7237261918483,8963249
2021-09-13,1079.0838623046875,1107.0443192185294,1077.4913349676583,1107.0443192185294,16311160
2021-09-14,1077.67333984375,1089.2988378614205,1076.5584984650136,1080.6536720322044,8908356
2021-09-15,1082.155029296875,1090.0949179081745,1077.695905241629,1077.695905241629,9071075
2021-09-16,1104.860107421875,1108.750437452325,1077.013388880378,1083.6338341939222,13448882
2021-09-17,1087.72900390625,1117.441336518829,1080.9265822690465,1112.9594649804742,34882133
2021-09-20,1089.4580078125,1100.3782281549334,1078.3784384748346,1079.3339306750968,11779819
2021-09-21,1094.1673583984375,1099.5819747220887,1084.7485569386888,1094.3038400919852,9915736
2021-09-22,1105.90673828125,1111.1392587944545,1091.2325487612284,1095.6689260415033,10995912
2021-09-23,1132.934326171875,1136.1648740748446,1112.731787596337,1113.5962919397923,15748397
2021-09-24,1129.658203125,1140.0097493661463,1124.7896341549288,1139.145244992765,15192163
2021-09-27,1148.655029296875,1151.134928281977,1126.2912870102596,1131.6149158288965,15373834
2021-09-28,1159.3935546875,1167.0604814914102,1143.3543048189429,1153.000577622525,18035258
2021-09-29,1150.2021484375,1169.38083570803,1146.653022546889,1169.38083570803,9719875
2021-09-30,1146.2889404296875,1153.273457399079,1137.6892697076169,1148.9053210131074,13590654
2021-10-01,1148.3138427734375,1155.6395643825463,1135.2550471541776,1138.4173546931033,8958928
2021-10-04,1163.0789794921875,1171.587662580675,1154.38820045178,1161.645680951927,10918552
2021-10-05,1187.2174072265625,1188.4914771861918,1159.0748554855732,1162.6012346483487,13533634
2021-10-06,1164.7625732421875,1192.1087413964174,1160.78125500237,1192.1087413964174,10258881
2021-10-07,1170.472900390625,1182.4624681330135,1168.334326130549,1180.7560859021983,6336665
2021-10-08,1215.450927734375,1221.4343385648037,1174.613532001241,1176.3197940015023,15772493
2021-10-11,1206.987548828125,1237.6326239992216,1203.6660128198464,1229.1694349795048,14768666
2021-10-12,1213.8809814453125,1220.7972576970285,1201.800425485858,1203.5068077762007,6682011
2021-10-13,1226.234619140625,1237.4051767394146,1214.563508294983,1218.9771386553036,9959762
2021-10-14,1228.7144775390625,1236.47251177523,1222.7083196035724,1228.6917305879201,8623469
2021-10-18,1231.990478515625,1249.0078435289915,1211.3783735683207,1214.2449704528303,13594479
2021-10-19,1243.0245361328125,1251.8972908980181,1232.1725560059263,1239.3616754056989,8833409
2021-10-20,1228.7144775390625,1247.9842743668398,1224.6649184645307,1247.9842743668398,12710570
2021-10-21,1193.26904296875,1241.2728114223185,1184.487275783306,1240.999848015025,20831669
2021-10-22,1195.49853515625,1212.5615152599457,1188.2638017444342,1192.1313848923699,11027475
2021-10-25,1183.8502197265625,1219.4322268467454,1169.3808726672285,1219.4322268467454,17198417
2021-10-26,1210.809814453125,1214.3816877777629,1184.464630979062,1190.81211393416,9750178
2021-10-27,1195.49853515625,1217.9761316670556,1192.1086379430944,1206.6918395131022,9896298
2021-10-28,1182.3941650390625,1200.2989032113676,1178.7086777178667,1192.131424255356,9886181
2021-10-29,1154.0244140625,1181.2795964610077,1138.3037421282204,1181.2795964610077,14233025
2021-11-01,1154.7296142578125,1163.0108284889366,1134.8455291099833,1154.0243384080532,15481114
2021-11-02,1137.89404296875,1159.3706543132414,1135.3687704240997,1158.005596587504,10569130
2021-11-03,1130.06787109375,1146.6302984409235,1119.7845647630193,1140.2828162204378,11989430
2021-11-04,1137.0068359375,1139.7596984467234,1132.9800238081948,1134.3222142818038,1705656
2021-11-08,1138.4173583984375,1146.63033145871,1117.6915164906068,1146.3572476973713,20337183
2021-11-09,1147.4039306640625,1150.679973201881,1131.6377653308825,1139.8052450774455,15682497
2021-11-10,1160.235107421875,1163.920714976533,1139.1908094185892,1145.1287260147478,10253470
2021-11-11,1162.3509521484375,1169.6083122656398,1153.7056670416569,1155.7532535702464,10722478
2021-11-12,1179.8917236328125,1182.4626105860948,1163.465776749054,1166.1503984605802,8712341
2021-11-15,1172.9300537109375,1184.03237124433,1169.3809275416072,1183.0312646799675,4803269
2021-11-16,1145.6749267578125,1171.6560383638487,1135.2551376309032,1170.3137274678447,11337581
2021-11-17,1121.1495361328125,1137.0521803529896,1119.784478533251,1137.0521803529896,10202029
2021-11-18,1125.3812255859375,1132.5249718442826,1114.8022082606076,1119.3295736996563,8505625
2021-11-22,1075.53466796875,1114.3244768150466,1069.733232783756,1108.4548007788628,24124307
2021-11-23,1085.59033203125,1092.5975959560926,1050.6227346718351,1061.5657022414562,25326999
2021-11-24,1069.915283203125,1096.5334264323562,1066.3434103717225,1082.9285842980569,16820296
2021-11-25,1134.3221435546875,1138.4400635861748,1072.5315589664726,1079.7435455818988,42401936
2021-11-26,1097.7620849609375,1127.3378152568512,1092.7114193284249,1122.8786907081894,15763138
2021-11-29,1110.911865234375,1137.530130735484,1091.6193215192616,1109.819891228915,24325354
